"Site","Area","Richness","Shannon"
"Askerön","Askeröfjord",15.6666666666667,2.682655264219
"Badeanstalt","KielFjord",11,2.11989991917945
"Bjoernoe","Stockholm Archipelago",11.875,2.29046639679323
"Bökevik1","Gasöfjord",7,1.21413681876143
"Bökevik2","Gasöfjord",11.5,2.04215700555889
"Bökevik3","Gasöfjord",13,2.40672031299564
"Bökevik4","Gasöfjord",15.5,2.68329620374716
"Falckenstein","KielFjord",13.25,2.42572571988157
"GEOMAR_Lab","Lab",16,2.7169594902249
"Gasö","Gasöfjord",16.7777777777778,2.7807961400566
"Gelting","Kiel Bay",15.6666666666667,2.67740255404073
"HamburgerHallig","NorthSea",8.5,1.36816952555253
"Having","Greifswald Bay",14,2.34106561356211
"Heidkate","KielFjord",8.5,1.74506265526637
"Herrvik","Gotland",7.42857142857143,1.42558511991746
"Kiel","Kiel Bay",11.2698412698413,2.14399354953691
"Klosterloch","Western Pomerania Lagoon National Park",13,2.34815158564959
"Koster","Kosterfjord",15.7777777777778,2.68595992664024
"Leuchtturm","Western Pomerania Lagoon National Park",12.25,2.30824510939968
"Libben","Western Pomerania Lagoon National Park",7.5,1.69076960979486
"Loissin","Greifswald Bay",13,2.45006321415369
"Lubmin","Western Pomerania Lagoon National Park",8,1.50875227421208
"Maasholm","Kiel Bay",12.9285714285714,2.35021835028384
"Poel","Mecklenburg Bay",14.5,2.56777167365384
"Rassower_Strom","Western Pomerania Lagoon National Park",15,2.58222926812366
"Schaprode1","Western Pomerania Lagoon National Park",15.5,2.69783087440729
"Vilm1","Mecklenburg Bay",14,2.53870233233359
"Warnemunde","Mecklenburg Bay",10,1.89717254347297
"faehrinsel","Western Pomerania Lagoon National Park",16.2,2.74592845352013
"klosterloch","Western Pomerania Lagoon National Park",17.4,2.83834807759478
"libben1","Western Pomerania Lagoon National Park",15.4,2.69012923906774
"libben2","Western Pomerania Lagoon National Park",14.8,2.6168884198232
"libbenX","Western Pomerania Lagoon National Park",15.2,2.64769496118141
"shaprode1","Western Pomerania Lagoon National Park",16.8,2.79795213382151
"shaprode2","Western Pomerania Lagoon National Park",16,2.68809090495469
